"Source:","/home/lucag/Documents/GitHub/LucidBand/MainBoard/MainBoard.sch"
"Date:","Wed 31 Mar 2021 10:35:51 AM PDT"
"Tool:","Eeschema 5.1.9"
"Component Count:","69"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"BT1","Battery_Cell","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Horizontal","~","",""
"C1","1uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C2","1uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C3","1uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C4","10nF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C5","0.1uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C6","1uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C7","4.7uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C8","0.1uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C9","0.1uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C10","0.1uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C11","0.1uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C12","0.1uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C13","0.1uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C14","2.2uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C15","0.1uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C16","0.1uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C17","0.1uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C18","0.1uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C19","0.1uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C20","0.1uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C21","Loading","Capacitor_SMD:C_0402_1005Metric","~","",""
"C22","Loading","Capacitor_SMD:C_0402_1005Metric","~","",""
"C23","1pF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C24","10pF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C25","100pF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C26","1mF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C36","100uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C53","10uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C54","0.1uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C55","10uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C56","10uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"D1","DIODE","Diode_SMD:D_0402_1005Metric","~","",""
"D2","1.8V","Diode_SMD:D_0402_1005Metric","~","",""
"IC1","MAX30102","OptoDevice:Maxim_OLGA-14_3.3x5.6mm_P0.8mm","https://datasheets.maximintegrated.com/en/ds/MAX30102.pdf","",""
"IC2","TESEO-LIV3F","libs:SON110P970X1010X230-18N","","",""
"J1","PV IN","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Horizontal","~","",""
"J2","Conn_Coaxial","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical"," ~","",""
"J3","Conn_01x30_Female","libs:waveshare_1.02","~","",""
"J4","Conn_Coaxial","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical"," ~","",""
"J6","Conn_01x04","libs:4 Pin SMD Wire","~","",""
"JP1","PV EN","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","",""
"JP2","WP1","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~","",""
"JP3","WP3","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~","",""
"JP4","WP2","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~","",""
"JP5","WP4","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~","",""
"L1","INDUCTOR","Inductor_SMD:L_0402_1005Metric","~","",""
"L2","1uH","Inductor_SMD:L_0402_1005Metric","~","",""
"R1","5K","Resistor_SMD:R_0402_1005Metric","~","",""
"R2","R_US","Resistor_SMD:R_0402_1005Metric","~","",""
"R3","R_US","Resistor_SMD:R_0402_1005Metric","~","",""
"R4","R_US","Resistor_SMD:R_0402_1005Metric","~","",""
"R5","R_US","Resistor_SMD:R_0402_1005Metric","~","",""
"R6","100","Resistor_SMD:R_0402_1005Metric","~","",""
"SW1","SW_DIP_x01","Button_Switch_SMD:SW_Push_1P1T-SH_NO_CK_KMR2xxG","~","",""
"SW2","SW_DIP_x01","Button_Switch_SMD:SW_Push_1P1T-SH_NO_CK_KMR2xxG","~","",""
"SW3","SW_DIP_x01","Button_Switch_SMD:SW_Push_1P1T-SH_NO_CK_KMR2xxG","~","",""
"TH1","Thermistor","","~","",""
"U1","STM32WB30CEU5A","libs:STM32WB30CEU5A","","",""
"U2","MAX20361AEWC+","libs:MAX20361AEWC&plus_","","",""
"U3","DLF162500LT-5028A1","libs:DLF162500LT","","",""
"U4","LSM9DS1","Package_LGA:LGA-24L_3x3.5mm_P0.43mm","http://www.st.com/content/ccc/resource/technical/document/datasheet/1e/3f/2a/d6/25/eb/48/46/DM00103319.pdf/files/DM00103319.pdf/jcr:content/translations/en.DM00103319.pdf","",""
"U5","TPS63001","Package_SON:Texas_DRC0010J_ThermalVias","http://www.ti.com/lit/ds/symlink/tps63000.pdf","",""
"U6","CAT24M01Y","Package_SO:TSSOP-8_4.4x3mm_P0.65mm","https://www.onsemi.com/pub/Collateral/CAT24M01-D.PDF","",""
"U7","CAT24M01Y","Package_SO:TSSOP-8_4.4x3mm_P0.65mm","https://www.onsemi.com/pub/Collateral/CAT24M01-D.PDF","",""
"U8","CAT24M01Y","Package_SO:TSSOP-8_4.4x3mm_P0.65mm","https://www.onsemi.com/pub/Collateral/CAT24M01-D.PDF","",""
"U9","CAT24M01Y","Package_SO:TSSOP-8_4.4x3mm_P0.65mm","https://www.onsemi.com/pub/Collateral/CAT24M01-D.PDF","",""
"Y1","32 kHz","Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm","~","",""
"Y2","32 MHz","Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm","~","",""
